ID,Name,Type,Category,PP,Power,Accuracy,SwSh,BDSP,LA,Contact,Target,SwSh_TM,SwSh_TM_No,BDSP_TM,BDSP_TM_No,is_TR,TR,Priority,Multihit,Charge,Recharge,Binding,Sound,Powder,Recoil,Gen
1,Pound,Normal,Physical,35,40,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
2,Karate Chop,Fighting,Physical,25,50,100,FALSE,FALSE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
3,Double Slap,Normal,Physical,10,15,85,FALSE,FALSE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
4,Comet Punch,Normal,Physical,15,18,85,FALSE,FALSE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
5,Mega Punch,Normal,Physical,20,80,85,TRUE,TRUE,FALSE,TRUE,single,TRUE,0,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
6,Pay Day,Normal,Physical,20,40,100,TRUE,TRUE,FALSE,FALSE,single,TRUE,2,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
7,Fire Punch,Fire,Physical,15,75,100,TRUE,TRUE,TRUE,TRUE,single,TRUE,3,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
8,Ice Punch,Ice,Physical,15,75,100,TRUE,TRUE,TRUE,TRUE,single,TRUE,4,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
9,Thunder Punch,Electric,Physical,15,75,100,TRUE,TRUE,TRUE,TRUE,single,TRUE,5,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
10,Scratch,Normal,Physical,35,40,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
11,Vise Grip,Normal,Physical,30,55,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
12,Guillotine,Normal,Physical,5,5000,30,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
13,Razor Wind,Normal,Special,10,80,100,FALSE,FALSE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,1
14,Swords Dance,Normal,Status,20,0,101,TRUE,TRUE,TRUE,FALSE,self,FALSE,,TRUE,75,TRUE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
15,Cut,Normal,Physical,30,50,95,TRUE,TRUE,FALSE,TRUE,single,FALSE,,TRUE,93,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
16,Gust,Flying,Special,35,40,100,TRUE,TRUE,TRUE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
17,Wing Attack,Flying,Physical,35,60,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
18,Whirlwind,Normal,Status,20,0,101,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,-6,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
19,Fly,Flying,Physical,15,90,95,TRUE,TRUE,FALSE,TRUE,single,TRUE,6,TRUE,94,FALSE,,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,1
20,Bind,Normal,Physical,20,15,85,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,1
21,Slam,Normal,Physical,20,80,75,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
22,Vine Whip,Grass,Physical,25,45,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
23,Stomp,Normal,Physical,20,65,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
24,Double Kick,Fighting,Physical,30,30,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
25,Mega Kick,Normal,Physical,5,120,75,TRUE,TRUE,FALSE,TRUE,single,TRUE,1,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
26,Jump Kick,Fighting,Physical,10,100,95,FALSE,FALSE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
27,Rolling Kick,Fighting,Physical,15,60,85,FALSE,FALSE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
28,Sand Attack,Ground,Status,15,0,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
29,Headbutt,Normal,Physical,15,70,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
30,Horn Attack,Normal,Physical,25,65,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
31,Fury Attack,Normal,Physical,20,15,85,TRUE,TRUE,FALSE,TRUE, single,FALSE,,FALSE,,FALSE,,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
